Facility Name,Site Address,Last Inspection Date,Facility Type,url_entity_partial,category,Community,Program Area,Closed Date,Reason,Reopen Date,Type,Offense,Outcome,Offense Date,Resolved Date,url_entity_full
Thyne's Family Bakery & the Cat-Urday Cafe - Baked Goods - Retail,177 Gore Street  Sault Ste Marie ON,01-May-2024,Baked Goods - Retail,location.href = '/Portal/Facility/Details/685a70d0-f225-4449-bcbe-6171d4ca145d' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/685a70d0-f225-4449-bcbe-6171d4ca145d
17 Restaurant - Restaurant,2-Woodward Ave.  Blind River ON P0R 1B0,06-Dec-2023,Restaurant,location.href = '/Portal/Facility/Details/d186d75c-f80a-4e8a-9bb6-6be65f0cdec8' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/d186d75c-f80a-4e8a-9bb6-6be65f0cdec8
17E Trading Post - Convenience / Variety,6999 Highway 17 E  Desbarats ON P0R 1E0,04-Mar-2024,Convenience / Variety,location.href = '/Portal/Facility/Details/c1fe5cde-b39f-4031-a4d8-1136fe96244c' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/c1fe5cde-b39f-4031-a4d8-1136fe96244c
40 Below Freeze Dried Snacks - Home Based Food Inspection,no site address,09-Jun-2023,Home Based Food Inspection,location.href = '/Portal/Facility/Details/89b7e663-7c12-44ea-8bda-569d107f345e' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/89b7e663-7c12-44ea-8bda-569d107f345e
75 Pies - Food Take Out,124 Bruce Street  Sault Ste. Marie Ontario P6A 2X7,10-Aug-2023,Food Take Out,location.href = '/Portal/Facility/Details/14c6851f-d2bc-43a8-9dbf-4895d380102e' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/14c6851f-d2bc-43a8-9dbf-4895d380102e
A One Stop Esso - Convenience / Variety,201 Highway 17 N  White River ON P0M 3G0,04-Aug-2023,Convenience / Variety,location.href = '/Portal/Facility/Details/74f4de16-3ce0-4c71-b898-9b094020e301' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/74f4de16-3ce0-4c71-b898-9b094020e301
A Touch of Home - Food Take Out,10-Woodward Ave  Blind River ON P0R 1B0,05-Dec-2023,Food Take Out,location.href = '/Portal/Facility/Details/268c9e1a-64f3-4e85-8721-7c229b63638b' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/268c9e1a-64f3-4e85-8721-7c229b63638b
A&A Catering and Charcuterie - Food Caterer,543 Trunk Road  Sault Ste. Marie ON P6A 3T1,,Food Caterer,location.href = '/Portal/Facility/Details/50f1b9d4-d4d5-41e3-89f2-e45e83a67290' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/50f1b9d4-d4d5-41e3-89f2-e45e83a67290
A&W - Restaurant,121 Great Northern Rd  Sault Ste. Marie ON P6B 4Y9,19-Jan-2024,Restaurant,location.href = '/Portal/Facility/Details/a9a62147-9262-410a-8db7-d2050bc3095b' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/a9a62147-9262-410a-8db7-d2050bc3095b
A&W - Restaurant,659 Great Northern Rd  Sault Ste. Marie ON P6B 5Y1,23-Jan-2024,Restaurant,location.href = '/Portal/Facility/Details/d83fcf77-acd7-46f9-956b-e53d59aa7ec8' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/d83fcf77-acd7-46f9-956b-e53d59aa7ec8
A&W - Restaurant,201 Highway 17  White River ON P0M 3G0,21-Apr-2023,Restaurant,location.href = '/Portal/Facility/Details/c1ba4f68-6740-466e-975a-f250963c8adb' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/c1ba4f68-6740-466e-975a-f250963c8adb
A&W - Restaurant,496 Causley Street  Blind River ON P0R 1B0,14-Feb-2024,Restaurant,location.href = '/Portal/Facility/Details/f6a27032-beac-4a88-8f9e-90f61fdf6b5b' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/f6a27032-beac-4a88-8f9e-90f61fdf6b5b
A&W Churchill Bvd. - Restaurant,150 Churchill Bvd.  Sault Ste. Marie ON,29-Sep-2023,Restaurant,location.href = '/Portal/Facility/Details/7fdc46a6-da3c-4a8e-acef-5522729527db' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/7fdc46a6-da3c-4a8e-acef-5522729527db
Absolutely Delicious - Restaurant,2200 Queen Street East  Sault Ste. Marie ON P6A 7B5,24-Nov-2023,Restaurant,location.href = '/Portal/Facility/Details/11ce7064-cc7a-4446-9c85-23b8a7d9ff46' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/11ce7064-cc7a-4446-9c85-23b8a7d9ff46
Ada's Lasagna - Food Take Out,459 Second Line West  Sault Ste. Marie ON P6C 2K3,,Food Take Out,location.href = '/Portal/Facility/Details/4e954cf2-fdb6-43a4-81f3-6e12a363aa0a' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/4e954cf2-fdb6-43a4-81f3-6e12a363aa0a
"Agawa Crafts & The Canadian Carver, Carver Cafe - Convenience / Variety",12502 Highway 17 N  Batchawana ON P0S 1A0,21-Jun-2023,Convenience / Variety,location.href = '/Portal/Facility/Details/23824102-df73-4685-aeee-42f4ebfa5777' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/23824102-df73-4685-aeee-42f4ebfa5777
Agawa Fish & Chips - Mobile Preparation Premises,10212 Highway 17 North  Batchawana Bay ON P0S 1A0,11-Jul-2023,Mobile Preparation Premises,location.href = '/Portal/Facility/Details/db5b76bf-f534-4108-9ac7-ead26d919ecc' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/db5b76bf-f534-4108-9ac7-ead26d919ecc
Agich's Kaby Kabins - Fly-in Camp,Kabinakagami Lake  Lizar Twp. ON,,Fly-in Camp,location.href = '/Portal/Facility/Details/eb78f529-fc04-4e96-b374-e85ffcf242ff' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/eb78f529-fc04-4e96-b374-e85ffcf242ff
Agree Outpost Camp Food - Restaurant,PO Box 624 Wawa  ON P0S 1K0,18-Aug-2023,Restaurant,location.href = '/Portal/Facility/Details/6a2a1f42-5ad3-4728-89ea-f846cb76c3c4' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/6a2a1f42-5ad3-4728-89ea-f846cb76c3c4
Airdale Hunting and Fishing Lodge Kitchen - Restaurant,1 Whitefish Lake  Road Maness ON,27-Jun-2023,Restaurant,location.href = '/Portal/Facility/Details/357b3755-1f86-49d9-ac87-50bed40307b9' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/357b3755-1f86-49d9-ac87-50bed40307b9
Airways General Store - Convenience / Variety,2667 Second Line W  Sault Ste. Marie ON P6A 6K4,30-Jan-2024,Convenience / Variety,location.href = '/Portal/Facility/Details/ef1f3e61-0762-40e6-b3bf-62b5b139bb0c' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/ef1f3e61-0762-40e6-b3bf-62b5b139bb0c
AJ's Pizza - Food Take Out,64 Broadway Ave  Wawa ON P0S 1K0,05-Dec-2023,Food Take Out,location.href = '/Portal/Facility/Details/a7fb0b40-8902-47a1-9d35-cef8f2b086f1' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/a7fb0b40-8902-47a1-9d35-cef8f2b086f1
Alamos Gold Inc. Kitchen - Serving Kitchen,15 Goudreau Road  Dubreuilville ON P0S 1B0,12-Mar-2024,Serving Kitchen,location.href = '/Portal/Facility/Details/3fc451a9-d924-44e1-8c8e-e0a56216d424' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/3fc451a9-d924-44e1-8c8e-e0a56216d424
Algoma Conservatory of Music - Serving Kitchen,75 Huron Street  Sault Ste. Marie ON P6A 5P4,20-Sep-2023,Serving Kitchen,location.href = '/Portal/Facility/Details/1f14598b-c606-48fa-bd97-9407c1e6a082' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/1f14598b-c606-48fa-bd97-9407c1e6a082
Algoma Dairy Distributor - Food Warehouse / Depot,285 Wlson  Sault Ste Marie ON P6B 2K6,05-Dec-2023,Food Warehouse / Depot,location.href = '/Portal/Facility/Details/23d17671-0acf-4de3-943a-4b5f7088dd5e' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/23d17671-0acf-4de3-943a-4b5f7088dd5e
Algoma Manor - Long Term Care Facility,145 Dawson St  Thessalon ON P0R 1L0,17-Apr-2024,Long Term Care Facility,location.href = '/Portal/Facility/Details/83b314e4-70c7-45c3-8feb-f0c8007b42d9' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/83b314e4-70c7-45c3-8feb-f0c8007b42d9
Algoma Residential Community Hospice - Hospice,229 Fourth Line W  Sault Ste. Marie ON P6A 5K8,12-Feb-2024,Hospice,location.href = '/Portal/Facility/Details/e9d4646e-bab5-4c47-9093-783fae363ad4' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/e9d4646e-bab5-4c47-9093-783fae363ad4
Algoma Rod & Gun Club Inc. - Serving Kitchen,226 Connor Rd  Sault Ste. Marie ON P6A 6J8,04-Jan-2023,Serving Kitchen,location.href = '/Portal/Facility/Details/73f6865d-596e-441c-823b-a92a6e2a3412' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/73f6865d-596e-441c-823b-a92a6e2a3412
Algoma Treatment and Remand Centre - Institutional Servery,800 Great Northern Road  Sault Ste. Marie ON P6B 0B5,26-Feb-2024,Institutional Servery,location.href = '/Portal/Facility/Details/1cca5d27-c9f1-4750-9b51-d93dee8267cf' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/1cca5d27-c9f1-4750-9b51-d93dee8267cf
Algoma University Student Food Pantry - Food Bank,1520 Queen St E  Sault Ste. Marie ON,26-Oct-2023,Food Bank,location.href = '/Portal/Facility/Details/0cd8e0d4-91f0-455f-b51d-4d59e5a7f271' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/0cd8e0d4-91f0-455f-b51d-4d59e5a7f271
Algoma Youth Wellness Hub - Community Kitchen,124 Dennis Street  Sault Ste. Marie ON P6A 2X1,16-Jan-2024,Community Kitchen,location.href = '/Portal/Facility/Details/0286efc8-d014-4f82-ad5d-3db61b65a5ea' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/0286efc8-d014-4f82-ad5d-3db61b65a5ea
Algoma Youth Wellness Hub - Restaurant,124 Dennis Street  Sault Ste. Marie ON P6A 2X1,,Restaurant,location.href = '/Portal/Facility/Details/d6ed7cc2-d174-4e1c-8855-5fda47c8bfa2' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/d6ed7cc2-d174-4e1c-8855-5fda47c8bfa2
AlgomaTrad - Restaurant,1249 F&G Line Road  Richards Landing ON P0R 1J0,,Restaurant,location.href = '/Portal/Facility/Details/856ecbe6-b9b0-4a42-ab77-f33768a61227' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/856ecbe6-b9b0-4a42-ab77-f33768a61227
Alina's Kitchen - Food Take Out,1-701 Pine St.  Sault Ste. Marie ON P6B3G2,19-Mar-2024,Food Take Out,location.href = '/Portal/Facility/Details/81f32e0c-cfde-4d91-866c-4814e48044b9' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/81f32e0c-cfde-4d91-866c-4814e48044b9
All Homemade Catering - Food Caterer,305 Brock Ave  Wawa ON P0S 1K0,21-Dec-2023,Food Caterer,location.href = '/Portal/Facility/Details/bd112210-da51-4c0c-94d4-6a4fdb6d720d' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/bd112210-da51-4c0c-94d4-6a4fdb6d720d
All Tribes Christian Camp Kitchen - Serving Kitchen,1065 Hilton Rd  Richard's Landing ON P0R 1J0,09-Aug-2023,Serving Kitchen,location.href = '/Portal/Facility/Details/069ff5fd-8f7e-4a68-83db-9c632a6297b8' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/069ff5fd-8f7e-4a68-83db-9c632a6297b8
Alzheimer Society Sault Ste Marie & Algoma District - Serving Kitchen,61 Great Northern Road  Sault Ste Marie ON P6B 4Y8,18-Jan-2023,Serving Kitchen,location.href = '/Portal/Facility/Details/ef63bd68-10f0-4bc6-a74c-ca4e801e5b7a' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/ef63bd68-10f0-4bc6-a74c-ca4e801e5b7a
Amanda Nolan - Home Based Food Inspection,108 Churchill Ave  Wawa ON P0S 1K0,01-Mar-2023,Home Based Food Inspection,location.href = '/Portal/Facility/Details/15e8f3e8-f6f7-4d99-9555-59dfd5f7c6cb' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/15e8f3e8-f6f7-4d99-9555-59dfd5f7c6cb
Ambassador Motel Mobile Food Cart - Mobile Preparation Premises,1275 Great Northern Rd  Sault Ste. Marie ON,08-Sep-2022,Mobile Preparation Premises,location.href = '/Portal/Facility/Details/14b74138-245f-45e2-9e46-01f1ecdd23d1' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/14b74138-245f-45e2-9e46-01f1ecdd23d1
Andre Foods - Hot Dog Cart,no site address,22-Jun-2023,Hot Dog Cart,location.href = '/Portal/Facility/Details/1ef3e9d8-3c18-40d3-93fe-51fd781c5bc7' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/1ef3e9d8-3c18-40d3-93fe-51fd781c5bc7
Angels Direct Food Service - Food Warehouse / Depot,398 Old Garden River Rd  Sault Ste Marie ON P6B 5A8,13-Sep-2023,Food Warehouse / Depot,location.href = '/Portal/Facility/Details/9fa089c9-df46-49ef-9677-86be20b16646' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/9fa089c9-df46-49ef-9677-86be20b16646
Angry Joe's BBQ - Catering Vehicle,570 Dundas Street  Sault Ste Marie ON,27-May-2023,Catering Vehicle,location.href = '/Portal/Facility/Details/4a912be2-02c4-47e4-993b-83adf352c4af' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/4a912be2-02c4-47e4-993b-83adf352c4af
Anna McCrea Public School - Elementary School,250 Mark Street  Sault Ste. Marie ON P6A 3M7,24-Oct-2023,Elementary School,location.href = '/Portal/Facility/Details/473e99eb-2224-415e-8c6e-fdb3e1bf4556' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/473e99eb-2224-415e-8c6e-fdb3e1bf4556
Annettes Diner - Restaurant,B-4683-Highway  17 Spragge ON P0R 1K0,26-Feb-2024,Restaurant,location.href = '/Portal/Facility/Details/1e2cfd30-3540-4cc5-ab06-cb8e07ddac41' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/1e2cfd30-3540-4cc5-ab06-cb8e07ddac41
Antico - Restaurant,6 Village Court  Sault Ste. Marie ON P6B 6K1,25-Apr-2024,Restaurant,location.href = '/Portal/Facility/Details/b0a02ed5-5e34-4d26-960d-c70c4e5ce355' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/b0a02ed5-5e34-4d26-960d-c70c4e5ce355
APH - Community Kitchen - Community Kitchen,294 Willow Ave  Sault Ste. Marie ON P6B 0A9,02-May-2023,Community Kitchen,location.href = '/Portal/Facility/Details/5223a6ad-15a9-4294-86f4-3b2ca20ee459' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/5223a6ad-15a9-4294-86f4-3b2ca20ee459
April Carrier - Food Take Out,18 Arnott Ave  Wawa ON P0S 1K0,11-Mar-2024,Food Take Out,location.href = '/Portal/Facility/Details/fce22946-3bd9-4bbd-b58a-103f4e29cb73' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/fce22946-3bd9-4bbd-b58a-103f4e29cb73
Arby's - Restaurant,258 Great Northern Rd  Sault Ste. Marie ON P6B 4Z6,04-Mar-2024,Restaurant,location.href = '/Portal/Facility/Details/d5e8c068-9fac-403a-8176-0692a6d753f1' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/d5e8c068-9fac-403a-8176-0692a6d753f1
Argonaut Gold - Cafeteria,1 Sawmill Road  Dubreuilville ON P0S 1B0,14-Dec-2023,Cafeteria,location.href = '/Portal/Facility/Details/cf2f8b1b-c6bf-42dd-ad34-5700d51acdf6' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/cf2f8b1b-c6bf-42dd-ad34-5700d51acdf6
Arturo's Ristorante - Restaurant,515 Queen Street E  Sault Ste. Marie ON P6A 2A2,25-Apr-2024,Restaurant,location.href = '/Portal/Facility/Details/d9912fd5-4c0b-414b-a9a4-03ef95b32c08' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/d9912fd5-4c0b-414b-a9a4-03ef95b32c08
Au Jardin de Pierrot - Child Care Centre Kitchen,43 Scott St  Blind River ON P0R 1B0,08-Dec-2023,Child Care Centre Kitchen,location.href = '/Portal/Facility/Details/c89aa213-020c-4aff-9357-fddc788bcd58' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/c89aa213-020c-4aff-9357-fddc788bcd58
Aubrey Falls Trading Post Restaurant - Restaurant,9538 Highway 129  Villeneuve Township ON P0R 1L0,09-Apr-2024,Restaurant,location.href = '/Portal/Facility/Details/6ffac7e0-caa1-4eaf-95cb-c32229b85aa7' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/6ffac7e0-caa1-4eaf-95cb-c32229b85aa7
Aurora's Hillside - Food Take Out,760 Second Line  Sault Ste. Marie ON P6B 4K4,12-Apr-2024,Food Take Out,location.href = '/Portal/Facility/Details/bf088f7d-fe5b-4607-a640-bdef0f0335b6' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/bf088f7d-fe5b-4607-a640-bdef0f0335b6
Aurora's Westside - Restaurant,300 Second Line W  Sault Ste. Marie ON P6C 2J5,02-May-2024,Restaurant,location.href = '/Portal/Facility/Details/afafade7-7e4b-4993-abe1-7aecefad75dc' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/afafade7-7e4b-4993-abe1-7aecefad75dc
Bakes By Babs - Home Based Food Inspection,11 Crestwood Avenue  Sault Ste. Marie ON P6A 6T2,,Home Based Food Inspection,location.href = '/Portal/Facility/Details/9d44b4e5-fdd5-4e2f-a48c-4aa3ea4766f1' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/9d44b4e5-fdd5-4e2f-a48c-4aa3ea4766f1
Ban Pom - Food Take Out,25 Dunn Road  Elliot Lake Ontario P5A 2R9,16-Aug-2023,Food Take Out,location.href = '/Portal/Facility/Details/642a8565-2c13-47d0-ba05-05d63eecb6bd' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/642a8565-2c13-47d0-ba05-05d63eecb6bd
Bangin Burger N Chicken Shack - Mobile Preparation Premises,92 Broadway Avenue  Wawa P0S 1K0,22-Jun-2023,Mobile Preparation Premises,location.href = '/Portal/Facility/Details/f9b41f4b-fc21-458d-9a43-313ee63a151b' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/f9b41f4b-fc21-458d-9a43-313ee63a151b
barBURRITO Fresh Mexican Grill - Restaurant,3C-625 Trunk Road  Sault Ste. Marie ON P6A 3T1,26-Jan-2024,Restaurant,location.href = '/Portal/Facility/Details/ff1162ef-4d5c-42d3-9c4b-eb2bbb8a0ece' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/ff1162ef-4d5c-42d3-9c4b-eb2bbb8a0ece
Baristas - Food Take Out,520 Queen St E  Sault Ste. Marie ON P6A 2G4,,Food Take Out,location.href = '/Portal/Facility/Details/932fc33c-4124-45bf-922d-705c7c09d31a' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/932fc33c-4124-45bf-922d-705c7c09d31a
Barrels of Goodies - Convenience / Variety,18B-Woodward Ave.  Blind River ON P0R 1B0,12-Apr-2024,Convenience / Variety,location.href = '/Portal/Facility/Details/ed43f988-823d-4202-8aee-f7c12daa0a2a' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/ed43f988-823d-4202-8aee-f7c12daa0a2a
Batchewana Maple Products - Home Based Food Inspection,245 Millcreek Drive  Sault Ste. Marie ON P6B 6L7,24-Apr-2023,Home Based Food Inspection,location.href = '/Portal/Facility/Details/90f1934b-9e32-47b1-b8b9-da9889e2fe53' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/90f1934b-9e32-47b1-b8b9-da9889e2fe53
"Bay Street Active Living Centre, 55+ - Restaurant",619 Bay Street  Sault Ste. Marie ON P6A 5X5,18-Jan-2024,Restaurant,location.href = '/Portal/Facility/Details/0c536898-5c64-4f9c-b0f0-736e1f0e5f80' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/0c536898-5c64-4f9c-b0f0-736e1f0e5f80
Beaver Tails - Food Take Out,65 Foster Dr.  Sault Ste Marie ON P6A 5N1,07-Jul-2023,Food Take Out,location.href = '/Portal/Facility/Details/e15e8afa-a4b7-441b-9cab-84d8369e1d0c' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/e15e8afa-a4b7-441b-9cab-84d8369e1d0c
Bellevue Park Concession - Food Take Out,Community-269 Queen St E  Sault Ste. Marie ON P6A 1Y9,08-Sep-2023,Food Take Out,location.href = '/Portal/Facility/Details/30d65f55-dfac-4cb5-b638-75a986741a9a' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/30d65f55-dfac-4cb5-b638-75a986741a9a
Ben R. McMullin Public School - Elementary School,24 Paradise Ave.  Sault Ste. Marie ON P6B 5K2,23-Oct-2023,Elementary School,location.href = '/Portal/Facility/Details/ba1b59e6-6007-44e5-8965-1e88066ec306' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/ba1b59e6-6007-44e5-8965-1e88066ec306
Bento Sushi - Food Take Out,219 Trunk Rd  Sault Ste. Marie ON P6A 3S7,05-Jan-2024,Food Take Out,location.href = '/Portal/Facility/Details/fd96e18d-623c-4e86-a1c5-00da69e26665' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/fd96e18d-623c-4e86-a1c5-00da69e26665
Bento Sushi Bar - Food Take Out,44 Great Northern Rd  Sault Ste Marie ON P6B 4Y5,25-Apr-2024,Food Take Out,location.href = '/Portal/Facility/Details/7a8814c7-d1d0-40ad-b163-95e61f085ab1' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/7a8814c7-d1d0-40ad-b163-95e61f085ab1
Bento Sushi Bar - Metro - Food Take Out,150 Churchill Blvd  Sault Ste Marie ON P6A 3Z9,28-Nov-2023,Food Take Out,location.href = '/Portal/Facility/Details/7899527d-c2a9-4a7d-b65e-d1343e420a01' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/7899527d-c2a9-4a7d-b65e-d1343e420a01
Bethel Bible Chapel - Serving Kitchen,686 Black Road  Sault Ste. Marie ON P6A 0C8,17-Jan-2024,Serving Kitchen,location.href = '/Portal/Facility/Details/8d75fe49-1149-4e3b-b9ac-7b7fa053d231' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/8d75fe49-1149-4e3b-b9ac-7b7fa053d231
Black Creek Outfitters - Convenience / Variety,9538F Highway  129 Thessalon ON P0R 1L0,17-Oct-2023,Convenience / Variety,location.href = '/Portal/Facility/Details/0d1912ac-0268-4c26-80d8-0fa1aa0cea8d' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/0d1912ac-0268-4c26-80d8-0fa1aa0cea8d
Black Creek Snackdown - Food Take Out,9538F Highway  129 Thessalon ON P0R 1L0,17-Oct-2023,Food Take Out,location.href = '/Portal/Facility/Details/24dc9def-a1be-4f9f-a2c0-b070fb5edbdc' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/24dc9def-a1be-4f9f-a2c0-b070fb5edbdc
Blind River Community Center Kitchen - Community Kitchen,110-Indiana Ave  Blind River ON P0R 1B0,,Community Kitchen,location.href = '/Portal/Facility/Details/8a84575c-102d-44f4-8cd7-2ac86cc15d38' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/8a84575c-102d-44f4-8cd7-2ac86cc15d38
Blind River Community Centre Canteen - Snack Bar / Refreshment Stand,110 Indiana Ave  Blind River ON P0R 1B0,,Snack Bar / Refreshment Stand,location.href = '/Portal/Facility/Details/85125bab-5a21-4b1a-b034-f0ea8da19f1b' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/85125bab-5a21-4b1a-b034-f0ea8da19f1b
Blind River Curling Club - Banquet Hall,45 Centre St  Blind River ON P0R 1B0,,Banquet Hall,location.href = '/Portal/Facility/Details/8d3233f6-9a4a-4f1b-ac49-bace5281a3fa' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/8d3233f6-9a4a-4f1b-ac49-bace5281a3fa
Blind River Early Learning Centre - St. Mary's - Child Care Centre Kitchen,25-Michigan  Blind River ON P0R 1B0,08-Dec-2023,Child Care Centre Kitchen,location.href = '/Portal/Facility/Details/1cbfed49-1bc0-4c2c-bdd5-0476cb7be32b' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/1cbfed49-1bc0-4c2c-bdd5-0476cb7be32b
Blind River Emergency Food Bank - Food Bank,183 Causley St  Blind River ON P0R1B0,02-Mar-2023,Food Bank,location.href = '/Portal/Facility/Details/a8a98c7a-2bcd-456a-83ef-3e4fb10a0232' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/a8a98c7a-2bcd-456a-83ef-3e4fb10a0232
Blind River Maple Cinema - Snack Bar / Refreshment Stand,117 Youngfox Rd  Blind River P0R 1B0,05-Mar-2024,Snack Bar / Refreshment Stand,location.href = '/Portal/Facility/Details/30a89c94-13e5-454a-bb66-1dde35fdeabc' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/30a89c94-13e5-454a-bb66-1dde35fdeabc
Blind River Public School - Elementary School,19 Hanes Ave.  Blind River ON P0R 1B0,,Elementary School,location.href = '/Portal/Facility/Details/8c8578d4-52c2-4379-8cc1-0594b65332b5' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/8c8578d4-52c2-4379-8cc1-0594b65332b5
