Facility Name,Site Address,Facility Type,Last Inspection Date,url_entity_partial,category,Services Inspected,Type,Offense,Outcome,Offense Date,Comment,Resolved Date,url_entity_full
Gore Bay Manitoulin Airport,257 Airport Rd  Gore Bay ON P0P 1H0,,22-Sep-2022,location.href = '/Facility/Details/01df4b14-9eed-482f-91c8-f49f0baa1f54' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/01df4b14-9eed-482f-91c8-f49f0baa1f54
Green Bay Lodge,322 Cosby Subdivision Rd  Mindemoya ON P0P 1S0,,10-Aug-2022,location.href = '/Facility/Details/8b33fedb-86bf-4f8f-98e0-bfb5eb001edd' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/8b33fedb-86bf-4f8f-98e0-bfb5eb001edd
Green Bay Lodge and Trailer Camp,463A Green Bay Rd  Noelville ON P0M 2N0,,09-Jun-2022,location.href = '/Facility/Details/1eab0ff6-489d-4ccd-8d0f-739f1091b21d' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/1eab0ff6-489d-4ccd-8d0f-739f1091b21d
Green Wilderness Lodge,"Lot 12 Green Wilderness Camp Rd, Emerald Township  Gogama ON P0M 1W0",,10-Aug-2022,location.href = '/Facility/Details/92f67dca-d1dd-4988-abb0-97c16b999aa5' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/92f67dca-d1dd-4988-abb0-97c16b999aa5
Halfway Lake Provincial Park,Hwy 144 N  Cartier ON P0M 1J0,,03-Jun-2021,location.href = '/Facility/Details/2106c461-2032-4768-8184-83b8ceccc790' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/2106c461-2032-4768-8184-83b8ceccc790
Happy Day Lodge,End of Esher-Healy Rd  Chapleau ON P0M 1K0,,02-Jun-2022,location.href = '/Facility/Details/cbf616f4-ce66-4b08-9198-b431e602b405' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/cbf616f4-ce66-4b08-9198-b431e602b405
Happy Face Family Park,445 New Cobden Rd  Dowling ON P0M 1R0,,27-Jul-2023,location.href = '/Facility/Details/c71b4bc1-1d05-44de-a61e-b20c96ffa7bb' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/c71b4bc1-1d05-44de-a61e-b20c96ffa7bb
Happy Summer Village,120 Happy Landing Rd  Noelville ON P0M 2N0,,30-Aug-2023,location.href = '/Facility/Details/d3d8e3ca-b441-4f49-aead-b36a749f3f53' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/d3d8e3ca-b441-4f49-aead-b36a749f3f53
HarborVue Marina,72 Feruguson Rd  Little Current ON P0P 1K0,,23-Aug-2022,location.href = '/Facility/Details/8887f556-7c3d-4dc7-bbe4-88d18518f4bd' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/8887f556-7c3d-4dc7-bbe4-88d18518f4bd
Hartley Bay House & Marina,2870B Hartley Bay Rd Lot 6 Conc 3  Alban ON P0M 1A0,,28-Sep-2020,location.href = '/Facility/Details/21d87437-4f85-448c-abf8-726a130c9e7d' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/21d87437-4f85-448c-abf8-726a130c9e7d
Hidden Village Campground/Little River Campground,2292 Morgan Rd  Chelmsford ON P0M 1L0,,30-Oct-2023,location.href = '/Facility/Details/3377e082-ffb9-464d-9f45-8805e1c42425' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/3377e082-ffb9-464d-9f45-8805e1c42425
Hide Away Lodge,323 Hideaway Rd  Kagawong ON P0P 1J0,,11-Oct-2023,location.href = '/Facility/Details/a673ab41-f4e6-41bf-9ecb-279718904acb' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/a673ab41-f4e6-41bf-9ecb-279718904acb
Highway #144 Welcome Centre,330 Highway 144  Onaping ON P0M 2R0,,22-Aug-2022,location.href = '/Facility/Details/098e162f-52a3-42f5-881b-9dd59dc6d4e4' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/098e162f-52a3-42f5-881b-9dd59dc6d4e4
Hilly Acres Camp & Trailer Park,1049 South River Rd  Whitefish Falls ON P0P 2H0,,06-Sep-2023,location.href = '/Facility/Details/dc1cd237-4da4-4480-a572-c2b8f09534e0' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/dc1cd237-4da4-4480-a572-c2b8f09534e0
Holiday Beach Campground,3655 RR 55  Whitefish ON P0M 3E0,,28-Sep-2021,location.href = '/Facility/Details/d5dc6bd3-dc5f-4aa2-86fd-dda97f61bfb1' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/d5dc6bd3-dc5f-4aa2-86fd-dda97f61bfb1
Horwood Lake Lodge,Penhorwood Pennisula Road  Outside Of Foleyet ON P0M 1T0,,02-Sep-2021,location.href = '/Facility/Details/11b2bf21-76c8-42d3-ad2e-0babd3d22f1c' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/11b2bf21-76c8-42d3-ad2e-0babd3d22f1c
Houston Lake Camp,0 Hwy 560  Shining Tree ON P0M 2X0,,19-Jul-2023,location.href = '/Facility/Details/7f495db7-d163-4754-bf7b-5cd8de3421ca' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/7f495db7-d163-4754-bf7b-5cd8de3421ca
Huron Sands Motel,5216 Hwy 551  Providence Bay ON P0P 1T0,,21-Sep-2023,location.href = '/Facility/Details/c92f7e2c-b18f-46d6-aa61-28f0ed0b178c' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/c92f7e2c-b18f-46d6-aa61-28f0ed0b178c
Hutchinson's Cottages and Campground,22 Hutchinson Rd  Sandfield ON P0P 2C0,,12-Sep-2022,location.href = '/Facility/Details/662e0299-6d38-45bf-a3f5-3823ed16de31' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/662e0299-6d38-45bf-a3f5-3823ed16de31
IAMGOLD,Coté Gold Project-Highway 144 Eagle Lodge Site  Gogama ON P0M 1T0,,18-Nov-2021,location.href = '/Facility/Details/6860a43f-a5b2-45a7-aea2-3a91f2915d89' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/6860a43f-a5b2-45a7-aea2-3a91f2915d89
Ice Lake Church of Christ,408A Robertson Rd  Gore Bay ON P0P 1H0,,15-Aug-2023,location.href = '/Facility/Details/db1a98c9-5763-4688-81bd-94d711243ef4' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/db1a98c9-5763-4688-81bd-94d711243ef4
Idyll Glen Park Campground,280 Hill Rd  Mindemoya ON P0P 1S0,,21-Sep-2021,location.href = '/Facility/Details/deda756f-12b9-495c-a2b6-8e8a5b70794b' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/deda756f-12b9-495c-a2b6-8e8a5b70794b
Island Springs Cottages,113 Ketchankooken Trail  Mindemoya ON P0P 1S0,,28-Jul-2021,location.href = '/Facility/Details/05ec112e-dded-45df-a66b-8dbd8a635eec' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/05ec112e-dded-45df-a66b-8dbd8a635eec
Ivanhoe Lake Provincial Park,170 Ivanhoe Lake Rd  Foleyet ON P0M 1T0,,12-Jul-2021,location.href = '/Facility/Details/2d7f659f-5a54-42d7-a7be-fbd2789a1eff' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/2d7f659f-5a54-42d7-a7be-fbd2789a1eff
Ivanhoe River Inn/Air Ivanhoe,120 Ivanhoe Lake Rd  Foleyet ON P0M 1T0,,16-Aug-2021,location.href = '/Facility/Details/01ae7f09-5584-4f64-bb75-7dc775095756' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/01ae7f09-5584-4f64-bb75-7dc775095756
J & L Lakeview Retreat and B & B,48 Minisinakwa Lake Rd  Gogama ON P0M 1W0,,07-Nov-2022,location.href = '/Facility/Details/4180da26-e4a1-496c-abc9-47c035c008cb' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/4180da26-e4a1-496c-abc9-47c035c008cb
Kalmo Beach Changehouse,2630 Sandy Beach Rd  Val Caron ON P3N 1G5,,30-Aug-2022,location.href = '/Facility/Details/491c4ecb-f489-4139-b0ae-b54a0daad01a' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/491c4ecb-f489-4139-b0ae-b54a0daad01a
Kamp Kagawong,RR 2  Spring Bay ON P0P 2B0,,12-Sep-2022,location.href = '/Facility/Details/31f0a438-e900-41dc-aa1f-590a7ef63bf4' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/31f0a438-e900-41dc-aa1f-590a7ef63bf4
Kate's Kountry Kitchen,8130 Hwy 17 E  Warren ON P0H 2N0,,,location.href = '/Facility/Details/9221ef42-49f4-4093-9287-42dbf4bb6deb' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/9221ef42-49f4-4093-9287-42dbf4bb6deb
Kelly's Family Diner,Hwy 144  Cartier ON P0M 1J0,,17-Sep-2020,location.href = '/Facility/Details/76dc5a82-af23-4308-ba3e-98e01f0197d4' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/76dc5a82-af23-4308-ba3e-98e01f0197d4
Key Harbour Lodge,2552 Key River  Britt ON P0G 1A0,,13-Jul-2020,location.href = '/Facility/Details/c4c66880-d71f-4d28-87c3-e9b1962f0c73' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/c4c66880-d71f-4d28-87c3-e9b1962f0c73
Key Marine Resort,2624 Hwy 69 S  Britt ON P0G 1A0,,23-Sep-2020,location.href = '/Facility/Details/c90da768-091f-4793-b1c1-7eac9e505fdb' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/c90da768-091f-4793-b1c1-7eac9e505fdb
Kicking Mule Ranch,101 Gauthier Rd  Tehkummah ON P0P 2C0,,15-Jun-2023,location.href = '/Facility/Details/b92c0649-07f2-4921-8261-5c467bf1f3e8' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/b92c0649-07f2-4921-8261-5c467bf1f3e8
Killarney Outfitters Inc.,1076 Hwy 637  Killarney ON P0M 2A0,,05-Oct-2020,location.href = '/Facility/Details/945f4606-dce6-468f-88f1-37972ead3147' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/945f4606-dce6-468f-88f1-37972ead3147
Killarney Provincial Park,960 Hwy 637  Killarney ON P0M 2A0,,29-Aug-2022,location.href = '/Facility/Details/837d7139-f112-4972-a67f-57aa7dc5cf06' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/837d7139-f112-4972-a67f-57aa7dc5cf06
Kingdom Hall of Jehovah's Witnesses,140 McNenly Drive South  Espanola ON P5E 1N8,,13-Dec-2023,location.href = '/Facility/Details/42467bfc-0dbb-47a8-ad17-0b0a8040efd8' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/42467bfc-0dbb-47a8-ad17-0b0a8040efd8
Kivi Park Playground,4472 Long Lake Rd  Sudbury ON P3G 1K4,,28-Sep-2022,location.href = '/Facility/Details/1897204c-ea4b-47bc-9d9a-9a0ab4bc9683' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/1897204c-ea4b-47bc-9d9a-9a0ab4bc9683
L & J Tent & Trailer Park,76 L & J Lane  Manitowaning ON P0P 1N0,,20-Jun-2023,location.href = '/Facility/Details/f68f7701-bf35-4448-adef-aafac39ed61b' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/f68f7701-bf35-4448-adef-aafac39ed61b
Lakair Lodge,8219 Hwy 64  Monetville ON P0M 2K0,,28-Jul-2020,location.href = '/Facility/Details/a9f815c1-b5cf-4d77-9c4e-a7c5baf33519' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/a9f815c1-b5cf-4d77-9c4e-a7c5baf33519
Lake Apsey Resort (2153479 Ontario Ltd.),400 Lake Apsey Rd  Espanola ON P5E 1T1,,26-Jun-2020,location.href = '/Facility/Details/3ea4c4c5-0a67-456e-bdeb-33c61e526d71' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/3ea4c4c5-0a67-456e-bdeb-33c61e526d71
Lake Huron Fish & Chips,52841 Hwy 551  Providence Bay ON P0P 1T0,,30-May-2022,location.href = '/Facility/Details/8a00de61-a9f8-4aa5-9df2-32de3ea61c8f' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/8a00de61-a9f8-4aa5-9df2-32de3ea61c8f
Lake Kagawong Family Cabins,423 Lakeshore Rd  Kagawong ON P0P 1J0,,10-Aug-2022,location.href = '/Facility/Details/d8211813-a023-41a6-a8d4-1fa67dfa8128' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/d8211813-a023-41a6-a8d4-1fa67dfa8128
Lake Laurentian Conservation - Nature Chalet,2309 South Bay Rd  Sudbury ON P3E 6H7,,29-Apr-2024,location.href = '/Facility/Details/1ffe479c-aa84-4de2-a8e7-e57f60d85247' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/1ffe479c-aa84-4de2-a8e7-e57f60d85247
Lake Obabika Lodge - drilled well,Box 13-1  River Valley Ontario P0H 2C0,,24-Aug-2022,location.href = '/Facility/Details/a018b924-3c45-453c-9196-8f8be986b5f7' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/a018b924-3c45-453c-9196-8f8be986b5f7
Lake Onaping Lodge - Trailer/Motel,0 Onaping Lake Rd  Levack ON P0M 2C0,,16-Aug-2022,location.href = '/Facility/Details/1d3f338a-cf4c-43d1-8ba5-e4fd71825980' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/1d3f338a-cf4c-43d1-8ba5-e4fd71825980
Lake Wolsey Cabins,14605 Highway 540  Gore Bay ON P0P 1H0,,21-Jun-2023,location.href = '/Facility/Details/2a1c4cc3-a6f2-4b35-b1e1-30c4d2d9f200' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/2a1c4cc3-a6f2-4b35-b1e1-30c4d2d9f200
Lake Wolsey Obejewung Park,225 Lake Wolsey Rd  Evansville ON P0P 1E0,,22-Sep-2022,location.href = '/Facility/Details/91786ee2-eb2d-4b5d-b1d7-e667af9dd4d4' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/91786ee2-eb2d-4b5d-b1d7-e667af9dd4d4
Lakeland Lodge,Lakeland Lodge Rd  Skead ON P0M 2Y0,,13-Aug-2020,location.href = '/Facility/Details/9eaf0495-b329-47a0-bab8-aea875c1326c' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/9eaf0495-b329-47a0-bab8-aea875c1326c
Lakeview Resort,879 Lakeshore Rd  Kagawong ON P0P 1J0,,26-Aug-2021,location.href = '/Facility/Details/ac5e954e-9579-44f0-8a67-5013d6d79bf0' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/ac5e954e-9579-44f0-8a67-5013d6d79bf0
Lang Lake Resort,1454 Lang Lake Rd  Espanola ON P5E 1T5,,09-Jun-2023,location.href = '/Facility/Details/3258a200-9f47-4084-849f-9507add302f8' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/3258a200-9f47-4084-849f-9507add302f8
Lee Valley Hall,983 Lee Valley Rd  Massey ON P0P 1P0,,14-Sep-2022,location.href = '/Facility/Details/a96d8179-1215-4628-9332-6eafd658ae01' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/a96d8179-1215-4628-9332-6eafd658ae01
Linamac Trailer Park & Cabins,Linamac Rd Lot 8 Conc. 3 Daoust Township  Chapleau ON P0M 1K0,,12-Jul-2022,location.href = '/Facility/Details/86f71057-21f0-4c36-9797-3483e2e6b553' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/86f71057-21f0-4c36-9797-3483e2e6b553
Loon's Landing,263A Hass Rd  Alban ON P0M 1A0,,12-Jul-2023,location.href = '/Facility/Details/4d459361-9c43-4e64-86f7-b6be0b9c705d' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/4d459361-9c43-4e64-86f7-b6be0b9c705d
Lucky's Too?,403 Hwy 17 W  Walford ON P0P 2E0,,,location.href = '/Facility/Details/2a0d30bb-f604-4bbb-936a-895bbd544e2c' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/2a0d30bb-f604-4bbb-936a-895bbd544e2c
Mache-Kino Lodge/Canadian Airventures,"Raney Township, Denyes Lake  ON",,09-Aug-2023,location.href = '/Facility/Details/169cc49c-adf8-4fa3-8bb3-01699ce64da3' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/169cc49c-adf8-4fa3-8bb3-01699ce64da3
Mac's Camp,720 Perivale Rd W  Spring Bay ON P0P 2B0,,20-Jun-2023,location.href = '/Facility/Details/6ec72f70-7e71-4b21-ad17-a4e930ab654d' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/6ec72f70-7e71-4b21-ad17-a4e930ab654d
Manitoulin Community Centre (Sandfield) Well Supply,2177 Hwy 542  Sandfield ON P0P 2C0,,20-Mar-2024,location.href = '/Facility/Details/0b1a3261-2565-4738-8753-4bc3e3636fda' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/0b1a3261-2565-4738-8753-4bc3e3636fda
Manitoulin Community Centre (Spring Bay) Well Supply,9298 Hwy  542 Spring Bay ON P0P 2B0,,19-Oct-2021,location.href = '/Facility/Details/367abb64-d630-4fbf-a383-4ad81b805c43' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/367abb64-d630-4fbf-a383-4ad81b805c43
Manitoulin Community Church,506 Smeltzers Rd  Tehkummah ON P0P 2C0,,18-Mar-2024,location.href = '/Facility/Details/726a8f9c-3593-49de-aa2c-6fb9e6d69728' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/726a8f9c-3593-49de-aa2c-6fb9e6d69728
Manitoulin East Municipal Airport,12917 Hwy 6  Sheguiandah/Manitowaning ON P0P 1W0,,13-Sep-2022,location.href = '/Facility/Details/65ab9db7-36fa-4ddb-899b-4349dc97e160' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/65ab9db7-36fa-4ddb-899b-4349dc97e160
Manitoulin Eco Park - formerly Gordon's Park (Ontario Ltd. 2154948),18777 Hwy 6  Tehkummah ON P0P 2C0,,23-Sep-2022,location.href = '/Facility/Details/3aefdd3a-66f3-4575-94bc-9d508ea7b3f3' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/3aefdd3a-66f3-4575-94bc-9d508ea7b3f3
Manitoulin Golf,25 Golf Course Rd  Gore Bay ON P0P 1H0,,30-May-2022,location.href = '/Facility/Details/a14307a7-dee9-4593-bf73-ab0698efd9a6' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/a14307a7-dee9-4593-bf73-ab0698efd9a6
Manitoulin Resort Ltd. (Holiday Haven Resort),152 Holiday Haven Rd  Manitowaning ON P0P 1N0,,18-Aug-2022,location.href = '/Facility/Details/cd4ad91e-51ed-4e37-833b-15f1c5dfa2e8' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/cd4ad91e-51ed-4e37-833b-15f1c5dfa2e8
Mashkinonje Resort (formerly Mashkinonje Lodge),566 Musky Island Rd  Lavigne ON P0H 1R0,,14-Sep-2021,location.href = '/Facility/Details/8611a4d4-9656-47e7-8865-611a17ff023b' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/8611a4d4-9656-47e7-8865-611a17ff023b
Mayer Service Ltd.,62 St. David St N  Noelville ON P0M 2N0,,12-Jul-2023,location.href = '/Facility/Details/5d3ba2b2-b5d4-4c26-9ea3-9825d8435c52' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/5d3ba2b2-b5d4-4c26-9ea3-9825d8435c52
McFarlane Lake Playground,1548 Pioneer Rd  Sudbury ON P3G 1A8,,28-Sep-2022,location.href = '/Facility/Details/89b280a3-62f9-42a3-990b-3fbcec55ef79' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/89b280a3-62f9-42a3-990b-3fbcec55ef79
Meadow Springs Golf Club,5839 Hwy 64 S  Noelville ON P0M 2N0,,18-Aug-2020,location.href = '/Facility/Details/ea213b2a-5906-458c-909c-c01ddf4af4c1' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/ea213b2a-5906-458c-909c-c01ddf4af4c1
Meldrum Bay Community Hall,46 Front Street  Meldrum Bay ON P0P 1R0,,25-Jul-2023,location.href = '/Facility/Details/44079866-bf7d-465b-a2c3-5165bde87964' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/44079866-bf7d-465b-a2c3-5165bde87964
Meldrum Bay Marina,25960 Hwy 540  Meldrum Bay ON P0P 1R0,,21-Jun-2023,location.href = '/Facility/Details/af57bccf-84d5-4623-a3fa-7588fab1994a' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/af57bccf-84d5-4623-a3fa-7588fab1994a
Meshaw Falls Cottages,888 Dry Pine Bay Rd  Alban ON P0M 1A0,,14-Jul-2021,location.href = '/Facility/Details/f368427d-f49b-4eec-ae74-9528db5bb55a' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/f368427d-f49b-4eec-ae74-9528db5bb55a
Mill Lake Lodge,"JD 340-Colins Inlet, North Shore  Phillip Edward Island, Killarney ON P0M 2A0",,21-Sep-2023,location.href = '/Facility/Details/7e3336d8-5672-44d3-9efe-19c34ac1a7ef' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/7e3336d8-5672-44d3-9efe-19c34ac1a7ef
Minakwa Lodge (North Park),Lot RF61-R2 Mattagami Reserve Rd  Gogama ON P0M 1W0,,13-Jul-2021,location.href = '/Facility/Details/fcdd95d0-f5c8-415e-a41f-b7930bf93505' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/fcdd95d0-f5c8-415e-a41f-b7930bf93505
Minakwa Lodge (South Park),Lot RF61-R2 Mattagami Reserve Road  Gogama ON P0M 1W0,,13-Jul-2021,location.href = '/Facility/Details/48e9989a-d5ef-4c53-918b-7931f8b2f801' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/48e9989a-d5ef-4c53-918b-7931f8b2f801
Minakwa Lodge (Well),Lot RF61-R2 Mattagami Reserve Rd  Gogama ON P0M 1W0,,13-Jul-2021,location.href = '/Facility/Details/d221eef8-6417-4cd9-897c-d8a7098cc6b8' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/d221eef8-6417-4cd9-897c-d8a7098cc6b8
Mindemoya Change House and Storage Shed,10 Will-o-wisp Way  Mindemoya ON P0P 1S0,,21-Jul-2021,location.href = '/Facility/Details/62290d2a-b180-49ec-b77f-0d735dc8c922' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/62290d2a-b180-49ec-b77f-0d735dc8c922
Mindemoya Court Cottages and Campground,604 Ketchankookem Trail  Mindemoya ON P0P 1S0,,21-Jul-2021,location.href = '/Facility/Details/cf305198-3fe5-4f6d-ac71-0153cac71dfa' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/cf305198-3fe5-4f6d-ac71-0153cac71dfa
Mine Mill Campsite,2550 Richard Lake Rd  Sudbury ON P3G 0A3,,10-Aug-2023,location.href = '/Facility/Details/6f49bf56-a1e3-4e3e-b742-c6f0d8fa18eb' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/6f49bf56-a1e3-4e3e-b742-c6f0d8fa18eb
Mine Mill Recreational Centre and Office,2550 Richard Lake Rd  Sudbury ON P3G 0A3,,,location.href = '/Facility/Details/848e6bde-14e3-44d0-81c0-fd42809c477b' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/848e6bde-14e3-44d0-81c0-fd42809c477b
Misery Bay Provincial Park Visitor Centre,400 Misery Bay Park Rd  Evansville ON P0P 1E0,,06-Oct-2021,location.href = '/Facility/Details/7a572a6a-bee0-4e59-89ba-887495e48ee7' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/7a572a6a-bee0-4e59-89ba-887495e48ee7
Missinaibi Provincial Park-Barclay,80 km North of Town of Chapleau on Missinaibi Park Road  Barclay Township ON P0M 1K0,,12-Aug-2020,location.href = '/Facility/Details/d15cf893-e571-490d-ad45-4107efa0e7e0' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/d15cf893-e571-490d-ad45-4107efa0e7e0
Monetville Tavern & Lodge,53B Quesnel Rd  Monetville ON P0M 2K0,,24-Aug-2023,location.href = '/Facility/Details/bdee4266-a1e1-43d9-84b8-34dc44f61e99' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/bdee4266-a1e1-43d9-84b8-34dc44f61e99
Moonlight Bay Cottages,105A Moonlight Bay Rd  Alban ON P0M 1A0,,04-Aug-2021,location.href = '/Facility/Details/bad1add3-0585-4523-92a3-535a898c3688' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/bad1add3-0585-4523-92a3-535a898c3688
Moose Horn Lodge,0 McLennan Lake  Chapleau ON P0M 1K0,,14-Feb-2022,location.href = '/Facility/Details/0dd7dc33-1f6d-4bb1-95ef-f39e25643bc2' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/0dd7dc33-1f6d-4bb1-95ef-f39e25643bc2
Mooseland Camping,0 Hwy 101  Foleyet ON P0M 1T0,,23-Aug-2023,location.href = '/Facility/Details/606aa65d-d995-4411-8865-60daad64d89e' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/606aa65d-d995-4411-8865-60daad64d89e
Motel 6,1222 Pioneer Road  Sudbury ON P3G 1A6,,22-Sep-2021,location.href = '/Facility/Details/dde23893-94c6-4725-8b42-08c7675e9e87' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/dde23893-94c6-4725-8b42-08c7675e9e87
Mountain Cove Lodge,Penage Lake Rd  Espanola ON P5E 1S3,,07-Jul-2020,location.href = '/Facility/Details/2ab0c468-59db-49f4-8b0c-927320fa1afb' ,Drinking Water,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/2ab0c468-59db-49f4-8b0c-927320fa1afb
